age,education,marital_status,employment_type,employment_length_years,annual_income,credit_history_length,num_open_accounts,credit_limit,credit_utilization,existing_debt,num_late_payments_12m,num_credit_inquiries_6m,loan_amount_requested,home_ownership,purpose,default
22,bachelors,married,self_employed,0.4,21912.91,0,1,6345.64,0.096,5211.07,2,0,8688.05,MORTGAGE,home_improvement,1
31,masters,married,self_employed,5.5,65620.88,13,6,22798.52,0.397,12320.5,2,1,22799.4,OWN,medical,0
34,masters,single,salaried,3.3,60919.74,11,8,22009.21,0.257,9185.92,1,1,10208.35,RENT,medical,0
53,masters,widowed,self_employed,7.3,80056.11,28,3,27234.75,0.45,21156.55,0,0,22887.31,MORTGAGE,credit_card,0
44,masters,single,salaried,12.9,57517.76,20,4,21213.46,0.881,21283.52,1,1,12417.78,MORTGAGE,other,1
21,high_school,single,salaried,0.0,21598.18,1,4,5278.85,0.124,8417.9,0,0,1135.22,OWN,debt_consolidation,0
44,masters,married,salaried,10.8,42054.12,24,2,23529.64,0.286,8534.79,0,1,11291.54,RENT,home_improvement,0
35,high_school,single,self_employed,4.2,37122.19,12,3,19570.94,0.19,5521.4,0,0,12526.12,RENT,medical,0
32,high_school,single,self_employed,4.8,54150.67,14,6,22121.42,0.151,4359.34,0,1,12202.41,MORTGAGE,other,0
47,high_school,single,salaried,12.4,35128.61,23,8,11741.69,0.255,4737.09,0,0,3410.98,OWN,car,0
52,high_school,single,salaried,13.0,41680.81,34,6,22303.45,0.253,6046.97,1,1,14004.65,RENT,debt_consolidation,0
51,bachelors,single,salaried,14.4,67165.12,27,5,51223.64,0.647,35207.66,1,0,8236.45,RENT,home_improvement,0
30,bachelors,single,self_employed,3.7,30863.41,11,2,17591.34,0.781,15000.74,2,0,1658.13,MORTGAGE,home_improvement,1
36,high_school,married,retired,8.9,19033.66,16,4,11280.32,0.418,8181.8,0,1,6339.33,RENT,debt_consolidation,1
44,bachelors,married,salaried,8.5,56214.33,22,7,19573.18,0.468,10876.42,1,3,13587.78,RENT,debt_consolidation,1
52,bachelors,married,salaried,,,34,3,12209.68,0.608,8960.7,1,3,10841.36,OWN,debt_consolidation,1
34,masters,married,salaried,2.9,29862.2,9,0,8023.32,0.109,13817.41,1,0,5133.12,RENT,debt_consolidation,1
38,high_school,single,retired,9.9,15734.47,13,2,8014.39,0.261,4502.04,0,2,3926.92,MORTGAGE,credit_card,1
27,high_school,single,retired,5.0,18861.98,5,1,9412.35,0.343,9257.27,1,1,1098.26,MORTGAGE,home_improvement,1
26,high_school,divorced,retired,5.0,8197.32,7,2,3135.98,0.386,2834.35,0,0,1696.52,MORTGAGE,credit_card,1
50,high_school,married,self_employed,6.4,44319.51,27,4,11804.15,0.368,5868.42,1,1,7078.3,OWN,medical,0
56,bachelors,single,salaried,5.7,46896.85,33,5,23730.63,0.369,12411.57,0,0,8077.12,RENT,credit_card,0
39,bachelors,widowed,unemployed,0.0,9094.5,21,3,3939.75,0.392,2094.71,0,1,2369.91,MORTGAGE,credit_card,1
52,high_school,married,unemployed,0.0,10564.11,33,6,3550.3,0.59,3722.51,2,1,3658.82,OWN,car,1
44,bachelors,single,salaried,6.9,23468.15,26,5,13697.54,0.153,3890.44,0,2,9002.35,MORTGAGE,car,0
32,bachelors,widowed,self_employed,2.9,58295.38,7,2,30960.27,0.124,15880.17,0,2,22165.98,MORTGAGE,credit_card,0
44,phd,married,retired,10.4,25664.12,19,2,6750.47,0.219,9617.35,0,1,9611.68,OWN,home_improvement,0
58,high_school,widowed,unemployed,0.0,11652.54,34,4,9538.25,0.707,9998.26,0,0,972.53,MORTGAGE,credit_card,0
40,masters,single,self_employed,11.1,73091.93,18,4,26430.0,0.301,15793.64,0,1,5385.26,RENT,debt_consolidation,0
59,bachelors,single,salaried,,86612.37,39,4,54375.93,0.119,13962.92,0,0,30803.97,MORTGAGE,home_improvement,0
21,high_school,married,self_employed,0.0,24345.14,0,5,9113.1,0.353,21046.54,2,2,5082.14,OWN,debt_consolidation,1
50,phd,single,salaried,17.2,41606.07,28,0,32005.79,0.365,15361.15,0,2,8510.19,RENT,debt_consolidation,0
41,masters,single,salaried,9.8,30245.34,21,5,16916.61,0.229,6412.59,0,1,6044.29,RENT,credit_card,0
36,bachelors,married,salaried,4.0,58508.39,17,5,37691.69,0.353,19665.38,0,2,21355.31,OWN,debt_consolidation,1
41,bachelors,single,salaried,5.4,33382.01,21,2,13647.56,0.429,8193.09,0,2,6517.19,MORTGAGE,home_improvement,0
21,bachelors,divorced,salaried,0.0,24532.89,1,2,7269.87,0.438,3957.12,1,3,6158.92,MORTGAGE,credit_card,1
37,high_school,married,salaried,3.8,20520.94,16,4,12565.43,0.023,6219.35,1,0,1856.36,MORTGAGE,home_improvement,0
44,high_school,divorced,salaried,5.8,29709.32,21,2,8347.8,0.218,2204.68,0,0,4594.49,MORTGAGE,debt_consolidation,0
58,masters,married,salaried,11.5,122804.44,39,5,79347.02,0.021,2548.12,0,0,26653.14,RENT,medical,0
34,masters,married,self_employed,5.9,52344.85,14,5,14288.53,0.167,2960.93,0,0,13065.73,OWN,debt_consolidation,0
30,high_school,single,self_employed,3.1,22332.37,10,5,7424.8,0.046,3699.09,0,1,1965.85,MORTGAGE,home_improvement,0
34,masters,married,salaried,3.8,67914.4,10,0,35698.92,0.338,24914.38,2,0,16576.81,OWN,debt_consolidation,0
51,bachelors,single,self_employed,8.1,21560.6,32,4,15175.57,0.473,9036.36,0,2,5096.99,MORTGAGE,debt_consolidation,0
44,high_school,single,salaried,4.7,33877.56,19,4,21436.25,0.461,11721.92,0,2,11236.99,RENT,debt_consolidation,1
34,bachelors,single,salaried,5.1,31949.79,16,6,17980.25,0.086,9028.03,0,1,8140.09,RENT,debt_consolidation,0
46,bachelors,single,salaried,6.8,39729.91,21,3,20139.74,0.142,3996.59,1,0,7600.44,OWN,car,0
41,masters,single,unemployed,0.0,7978.62,21,7,3070.31,0.424,6633.93,0,1,696.63,RENT,credit_card,0
52,masters,married,salaried,4.8,58697.87,30,8,29119.02,0.635,21049.49,2,1,4752.83,RENT,home_improvement,1
32,high_school,single,salaried,4.3,24296.95,10,2,6210.14,0.125,2896.51,2,1,4520.87,RENT,debt_consolidation,0
36,bachelors,single,self_employed,7.0,29478.63,12,4,10846.47,0.379,7778.35,2,2,6221.42,MORTGAGE,credit_card,0
35,masters,divorced,salaried,7.9,41570.85,14,7,25101.38,0.139,4405.3,1,0,15333.54,OWN,other,0
22,masters,married,salaried,0.2,18890.71,0,3,4930.96,0.454,11663.19,0,0,3798.4,RENT,debt_consolidation,0
44,high_school,divorced,salaried,13.0,72799.73,26,4,26898.57,0.308,10192.6,1,0,9207.7,MORTGAGE,credit_card,0
43,bachelors,divorced,salaried,6.9,12615.0,24,3,4874.89,0.227,2722.88,0,0,1011.75,MORTGAGE,medical,0
40,masters,single,salaried,9.7,49336.28,17,5,15544.77,0.322,7575.7,1,1,14234.08,RENT,medical,1
37,high_school,widowed,retired,8.9,15811.95,18,7,9126.09,0.37,9577.64,0,0,3160.32,MORTGAGE,debt_consolidation,0
23,bachelors,single,salaried,1.2,23975.43,0,3,6156.14,0.219,2377.59,3,1,9399.76,MORTGAGE,home_improvement,1
35,masters,divorced,salaried,4.2,44029.17,17,2,20422.9,0.095,3572.43,0,2,15247.33,RENT,home_improvement,0
36,high_school,married,self_employed,4.0,41164.13,11,2,21225.79,0.478,11124.3,0,1,7171.36,OWN,home_improvement,1
30,masters,married,salaried,3.1,28185.09,9,3,14279.27,0.514,8199.94,0,0,4590.15,OWN,credit_card,1
38,high_school,married,retired,6.8,9150.85,19,5,4990.54,0.43,4789.76,0,4,3337.86,RENT,other,1
45,high_school,divorced,retired,11.1,15743.8,20,3,7710.82,0.698,6261.39,3,2,2101.89,MORTGAGE,debt_consolidation,1
63,high_school,married,self_employed,19.4,18071.36,38,0,13348.09,0.769,16769.19,0,1,1323.23,OWN,debt_consolidation,0
42,high_school,married,salaried,4.3,24273.68,24,1,17768.89,0.412,13232.96,2,0,3090.41,OWN,credit_card,1
43,high_school,single,unemployed,0.0,6928.98,20,6,2088.95,0.486,5609.53,2,3,2138.35,MORTGAGE,car,1
39,bachelors,married,salaried,4.1,40623.74,19,2,16422.35,0.495,45439.61,2,2,14795.14,OWN,credit_card,1
21,high_school,single,salaried,0.0,35198.15,0,2,6274.55,0.365,5559.03,1,1,8157.84,MORTGAGE,debt_consolidation,1
40,masters,married,salaried,11.2,57669.11,16,3,38015.06,0.518,25233.11,1,0,13852.19,OWN,credit_card,0
41,bachelors,married,salaried,9.9,45781.99,21,4,13093.78,0.134,3202.9,1,1,2849.87,RENT,home_improvement,0
70,bachelors,married,retired,22.7,22691.53,52,6,10713.77,0.043,1198.0,0,1,1642.01,RENT,credit_card,0
38,bachelors,married,retired,5.0,17194.12,16,0,4421.72,0.093,6900.36,0,0,3775.0,OWN,home_improvement,0
44,bachelors,married,retired,5.4,,22,2,8585.22,0.341,3811.26,0,1,6018.57,OWN,credit_card,0
40,bachelors,divorced,salaried,5.9,38216.47,21,2,27012.15,0.039,6940.35,0,1,7117.73,RENT,car,0
26,high_school,single,salaried,2.9,21339.27,5,3,3705.63,0.353,4133.73,0,0,2640.73,RENT,home_improvement,0
54,masters,divorced,retired,9.9,39050.18,30,6,18799.17,0.258,8877.15,0,0,14165.04,RENT,medical,0
49,bachelors,widowed,salaried,14.5,,25,3,34049.34,0.23,9735.41,2,0,20226.84,RENT,other,0
49,high_school,divorced,salaried,,57129.47,30,12,15892.6,0.44,23512.67,2,1,4386.8,MORTGAGE,debt_consolidation,0
29,bachelors,divorced,salaried,,36386.24,6,3,18782.77,0.092,5611.16,1,0,8783.82,RENT,debt_consolidation,1
57,bachelors,married,salaried,18.0,56742.21,39,6,34591.25,0.226,9893.34,0,2,5622.97,MORTGAGE,credit_card,0
23,high_school,single,unemployed,0.0,8776.67,0,0,3962.31,0.905,5289.71,1,2,2864.43,MORTGAGE,credit_card,1
47,masters,married,salaried,12.9,74244.89,22,7,32481.32,0.399,14687.83,1,1,22364.18,MORTGAGE,other,0
66,bachelors,married,salaried,21.4,46916.14,41,7,26910.64,0.034,10028.63,0,1,16935.33,OWN,home_improvement,0
28,bachelors,divorced,salaried,2.6,22498.56,6,5,5101.46,0.338,10313.07,0,2,2074.4,RENT,debt_consolidation,1
33,bachelors,married,salaried,6.5,,12,3,9948.03,0.559,16388.47,0,1,7091.25,MORTGAGE,credit_card,0
41,phd,married,salaried,6.1,45579.08,20,5,29685.63,0.376,12097.18,1,1,8043.29,MORTGAGE,credit_card,1
34,high_school,married,salaried,4.4,30174.89,15,5,19270.62,0.133,5704.76,2,2,5126.48,OWN,debt_consolidation,0
21,bachelors,single,retired,5.0,18271.95,0,2,7336.31,0.408,23757.81,0,0,6557.64,RENT,other,0
41,high_school,single,unemployed,0.0,7043.76,20,1,2739.12,0.256,2487.15,0,1,1668.32,MORTGAGE,debt_consolidation,1
27,bachelors,married,self_employed,2.3,30749.75,7,3,5378.12,0.398,3073.45,0,0,4791.0,MORTGAGE,home_improvement,0
46,high_school,single,self_employed,7.4,15223.61,26,4,10842.84,0.333,5499.1,2,2,5348.92,MORTGAGE,other,1
29,high_school,single,unemployed,0.0,5413.34,9,4,3146.43,0.018,1426.14,0,1,539.17,RENT,car,0
59,masters,married,salaried,15.6,202433.66,41,7,157360.02,0.561,89312.79,1,0,37872.15,MORTGAGE,home_improvement,0
31,bachelors,married,salaried,3.0,50801.8,13,4,31586.66,0.25,10140.33,2,1,15207.48,MORTGAGE,other,0
36,high_school,married,unemployed,0.0,11934.6,14,1,5569.0,0.217,3731.77,0,1,2006.31,OWN,medical,0
50,bachelors,divorced,self_employed,9.7,60340.57,26,5,25309.42,0.491,16509.6,1,3,13918.26,RENT,debt_consolidation,0
25,bachelors,single,salaried,1.3,,0,2,16697.66,0.371,7112.48,1,0,9414.57,OWN,credit_card,1
43,high_school,single,self_employed,13.0,32654.62,18,6,13307.94,0.69,12344.96,0,0,6016.9,OWN,medical,1
56,high_school,married,salaried,10.6,30126.0,36,4,22672.04,0.294,10871.57,0,0,11418.75,MORTGAGE,credit_card,0
21,phd,divorced,unemployed,0.0,17668.52,0,0,6729.06,0.317,3215.37,0,0,6552.42,RENT,other,0
42,bachelors,married,self_employed,11.4,30950.2,21,2,10656.66,0.285,3556.91,0,0,10927.2,OWN,car,0
43,bachelors,single,unemployed,0.0,12424.73,23,1,4577.2,0.417,2422.42,1,0,1593.32,MORTGAGE,debt_consolidation,0
49,masters,married,salaried,7.1,110716.02,25,10,47066.35,0.124,14639.56,0,0,36302.09,MORTGAGE,credit_card,0
25,bachelors,divorced,retired,5.0,23543.35,2,2,5805.84,0.161,17803.4,1,1,4129.42,MORTGAGE,debt_consolidation,0
24,high_school,single,salaried,1.1,21852.91,5,1,8266.94,0.193,2962.14,0,1,5987.32,MORTGAGE,debt_consolidation,1
46,high_school,single,self_employed,4.2,60220.63,25,3,17947.68,0.476,12441.55,0,0,9867.89,RENT,home_improvement,0
44,bachelors,married,salaried,9.1,45839.11,19,2,26814.72,0.497,14177.91,1,0,6079.69,MORTGAGE,debt_consolidation,1
43,masters,single,salaried,11.7,51928.63,18,4,32632.17,0.198,7993.03,0,0,7896.36,RENT,home_improvement,0
44,high_school,married,salaried,7.6,44050.93,24,8,30156.62,0.268,10733.47,2,0,11531.48,MORTGAGE,credit_card,0
32,high_school,single,salaried,4.4,20531.18,13,2,6543.97,0.126,2786.33,0,0,8143.83,RENT,credit_card,0
43,masters,single,salaried,4.7,32875.61,25,5,11747.4,0.242,9623.01,1,0,11130.29,RENT,car,0
44,high_school,married,salaried,12.2,31316.12,23,5,21466.83,0.483,11989.02,0,0,11376.88,RENT,credit_card,0
31,bachelors,single,salaried,2.0,27288.5,13,2,13821.95,0.029,2857.04,1,0,8917.44,RENT,debt_consolidation,0
62,high_school,single,salaried,7.9,25565.74,43,7,21745.41,0.468,14323.81,0,1,5663.41,RENT,credit_card,0
46,bachelors,divorced,salaried,14.3,44234.31,24,4,11341.11,0.745,9112.55,1,3,11180.47,MORTGAGE,medical,0
26,bachelors,single,salaried,2.7,25772.21,3,3,7687.47,0.385,4046.2,0,1,7619.26,OWN,medical,1
48,high_school,married,salaried,11.0,25798.48,26,2,10739.55,0.451,7853.08,0,0,9953.3,OWN,credit_card,0
28,bachelors,divorced,unemployed,0.0,8056.3,8,3,1986.94,0.134,5139.63,0,2,1208.13,RENT,car,0
49,bachelors,single,salaried,11.1,32753.78,30,4,23139.9,0.187,4868.76,0,0,6715.43,RENT,other,0
54,bachelors,single,salaried,18.6,73243.0,29,0,26066.55,0.638,25835.56,1,0,9760.75,OWN,credit_card,0
30,bachelors,married,salaried,3.8,62769.34,7,3,10939.72,0.253,3196.28,2,1,4105.02,MORTGAGE,debt_consolidation,0
52,bachelors,single,salaried,7.4,60759.3,29,5,45010.98,0.515,29357.07,2,0,6135.06,MORTGAGE,debt_consolidation,0
45,bachelors,married,salaried,13.4,37127.43,20,3,21663.66,0.011,3474.56,3,1,9352.31,RENT,other,1
50,bachelors,divorced,salaried,15.6,53407.97,30,7,16381.24,0.418,7851.7,0,0,20879.83,RENT,debt_consolidation,0
63,bachelors,single,salaried,16.6,42093.28,44,6,20534.18,0.486,11694.95,0,0,5536.54,MORTGAGE,debt_consolidation,0
37,bachelors,married,salaried,8.5,48082.41,15,0,17756.76,0.128,8361.11,0,0,15494.43,MORTGAGE,medical,0
31,bachelors,divorced,salaried,1.8,44160.97,6,5,10780.5,0.324,5957.54,1,2,14446.55,RENT,debt_consolidation,0
29,high_school,single,salaried,2.9,34812.51,4,0,12881.89,0.242,28591.42,1,0,9812.92,MORTGAGE,debt_consolidation,0
30,high_school,single,salaried,2.1,23674.72,5,3,11928.31,0.287,3912.71,0,1,6305.25,MORTGAGE,credit_card,0
39,high_school,married,salaried,9.5,40312.51,20,1,17623.61,0.563,13684.49,0,1,15953.44,OWN,credit_card,0
44,masters,widowed,self_employed,13.5,72167.78,20,7,17691.92,0.437,14076.2,1,0,14756.21,MORTGAGE,home_improvement,0
43,masters,single,salaried,12.5,59678.16,19,2,40812.2,0.626,27846.45,0,2,5793.62,RENT,credit_card,1
50,bachelors,single,unemployed,0.0,11937.35,26,5,4779.33,0.307,13321.64,1,1,3742.01,RENT,car,0
40,high_school,single,retired,7.2,12084.71,17,5,2632.15,0.778,3389.07,0,2,3114.07,RENT,credit_card,0
57,high_school,married,retired,20.1,25797.57,36,3,17949.4,0.306,6242.73,0,0,9323.7,MORTGAGE,debt_consolidation,1
37,masters,single,salaried,7.6,44876.6,13,5,14134.9,0.12,6512.3,1,0,16567.51,RENT,debt_consolidation,0
73,masters,married,salaried,9.5,44140.17,51,12,38397.96,0.483,24487.15,1,2,2558.15,OWN,credit_card,0
48,high_school,married,salaried,5.6,,29,6,7147.67,0.569,4681.42,1,0,2586.19,OWN,home_improvement,0
30,masters,widowed,unemployed,0.0,12725.4,11,4,2751.78,0.58,24164.94,1,4,1368.37,MORTGAGE,car,1
27,bachelors,divorced,salaried,1.9,26844.56,3,3,5635.52,0.661,5502.38,2,0,8145.56,OWN,debt_consolidation,1
46,high_school,divorced,salaried,5.9,28641.29,24,5,10348.47,0.186,2833.23,0,0,7155.66,RENT,other,0
37,bachelors,single,salaried,7.7,18392.84,19,8,5055.22,0.129,3571.9,0,0,5109.77,MORTGAGE,credit_card,0
49,bachelors,single,salaried,15.3,66864.68,31,3,30881.96,0.263,14236.48,0,0,7005.19,MORTGAGE,debt_consolidation,0
46,masters,married,unemployed,0.0,9666.64,21,10,6153.28,0.418,6241.04,0,0,3736.24,MORTGAGE,other,1
39,high_school,married,salaried,4.7,32135.58,16,0,9167.01,0.061,2133.51,2,2,6977.93,RENT,credit_card,0
30,high_school,married,self_employed,5.0,25141.33,6,3,7358.16,0.581,8680.93,1,0,4324.49,RENT,other,1
22,high_school,single,salaried,0.2,25133.83,2,1,7847.34,0.425,4040.67,2,0,5763.35,MORTGAGE,credit_card,1
35,high_school,married,salaried,,32132.3,10,1,15168.11,0.313,5761.37,1,0,9024.51,RENT,credit_card,0
50,bachelors,single,salaried,4.9,43070.51,30,2,27297.79,0.509,17552.93,1,1,13736.01,RENT,debt_consolidation,0
43,high_school,married,salaried,4.2,36922.88,22,5,16732.1,0.686,13161.7,2,2,7701.52,MORTGAGE,credit_card,1
25,bachelors,single,unemployed,0.0,7681.31,2,1,3031.3,0.132,5788.84,0,1,2646.98,MORTGAGE,other,1
42,bachelors,divorced,self_employed,5.5,28050.98,20,5,8708.66,0.155,4104.15,0,3,1556.88,MORTGAGE,debt_consolidation,0
45,bachelors,single,salaried,6.0,65777.88,22,3,35842.9,0.177,6569.74,0,0,6185.51,OWN,credit_card,0
29,bachelors,divorced,unemployed,0.0,14059.2,6,3,4819.52,0.448,8681.21,2,0,2295.55,RENT,credit_card,1
42,bachelors,divorced,salaried,8.3,30300.82,23,2,19732.28,0.179,9035.02,0,1,6165.46,OWN,credit_card,0
41,high_school,married,salaried,6.2,18891.46,23,4,4418.16,0.496,21691.7,0,0,6637.49,MORTGAGE,debt_consolidation,0
26,high_school,widowed,salaried,2.4,38635.85,8,5,20437.26,0.229,16856.51,0,2,13409.04,OWN,debt_consolidation,0
44,high_school,single,salaried,11.8,23355.72,21,8,5171.71,0.597,5371.11,1,0,6032.33,OWN,debt_consolidation,0
47,high_school,married,salaried,14.0,55849.95,27,8,31857.0,0.262,13061.83,1,2,11673.79,MORTGAGE,other,0
53,high_school,divorced,salaried,6.5,57914.35,28,4,36469.89,0.428,17328.96,2,1,12810.58,RENT,car,0
53,high_school,single,salaried,13.2,36454.38,28,3,17374.65,0.523,10302.68,0,1,11026.64,OWN,debt_consolidation,0
23,bachelors,married,salaried,0.9,27513.87,3,2,8431.95,0.287,4635.69,1,1,8223.07,MORTGAGE,other,1
29,phd,married,salaried,1.6,35004.95,10,4,6397.68,0.16,9698.93,1,0,11298.11,MORTGAGE,credit_card,0
46,high_school,married,salaried,10.6,35816.25,21,4,9557.41,0.645,10542.45,1,1,12551.21,RENT,other,1
46,masters,divorced,self_employed,4.1,74291.57,26,9,55223.8,0.653,54815.76,0,1,21126.58,OWN,debt_consolidation,1
46,high_school,married,salaried,7.6,39728.22,25,4,18258.22,0.354,37683.18,1,2,2747.35,RENT,credit_card,1
75,bachelors,single,retired,12.3,36253.2,53,11,15880.96,0.428,8428.47,0,1,2992.07,RENT,car,0
47,bachelors,divorced,self_employed,10.5,,23,4,49745.07,0.223,15106.28,1,0,9163.23,RENT,other,0
54,masters,single,salaried,7.8,62386.05,35,3,23038.59,0.089,8271.96,0,0,8100.12,RENT,debt_consolidation,0
51,high_school,divorced,salaried,15.2,100694.58,28,9,54964.67,0.516,29872.97,1,1,16756.12,RENT,debt_consolidation,0
48,high_school,widowed,salaried,5.5,42130.9,23,5,14796.07,0.081,2313.14,0,0,5592.49,RENT,home_improvement,0
36,high_school,divorced,unemployed,0.0,8609.99,15,1,3209.25,0.053,6109.33,0,0,2861.7,OWN,other,0
49,bachelors,married,salaried,5.4,52330.81,25,4,23848.94,0.616,22467.46,2,1,3345.65,OWN,medical,0
31,masters,married,salaried,3.5,51375.41,6,1,13472.84,0.506,12438.81,0,0,9165.39,MORTGAGE,other,1
37,masters,married,self_employed,7.4,62617.25,17,1,13565.51,0.16,10476.65,1,0,4967.48,OWN,debt_consolidation,0
34,bachelors,married,salaried,2.9,,12,2,25551.14,0.707,18481.05,3,0,9770.99,MORTGAGE,home_improvement,1
41,bachelors,single,salaried,9.8,16889.76,23,6,7908.58,0.267,3376.3,0,1,4943.67,MORTGAGE,home_improvement,0
68,masters,single,unemployed,0.0,15876.94,43,12,12666.68,0.542,8127.29,0,6,3365.55,RENT,debt_consolidation,1
21,bachelors,married,self_employed,0.0,,3,3,8080.69,0.187,4269.45,1,0,5334.97,MORTGAGE,debt_consolidation,0
48,high_school,married,salaried,4.1,58042.7,30,6,23511.64,0.211,24967.79,0,1,5418.71,MORTGAGE,debt_consolidation,0
21,masters,married,unemployed,0.0,5556.78,1,2,998.15,0.03,3347.96,0,1,560.64,OWN,debt_consolidation,0
